                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     93,                0.88004,                0.59032,                 1.0932,                0.77164,                0.64509,                 0.7351,                0.45059,                 1.4356,                 1.1675,                 1.4989,              0.0013928,              0.0013928,              0.0013928
                     94,                0.84438,                0.56876,                 1.0753,                 0.7334,                0.61212,                0.68156,                0.41767,                 1.4267,                 1.1643,                 1.5044,              0.0013862,              0.0013862,              0.0013862
                     95,                0.85513,                0.58295,                 1.0875,                0.82522,                0.61818,                0.70702,                0.43225,                 1.3912,                  1.271,                  1.488,              0.0013796,              0.0013796,              0.0013796
                     96,                0.87721,                0.58459,                 1.0896,                0.77873,                 0.6697,                0.72649,                0.44554,                 1.4561,                 1.1407,                 1.5487,               0.001373,               0.001373,               0.001373
                     97,                0.87427,                0.61305,                 1.1117,                0.77552,                0.65955,                0.71615,                0.44596,                 1.3911,                 1.1249,                 1.4884,              0.0013664,              0.0013664,              0.0013664
                     98,                0.85845,                  0.603,                  1.087,                 0.7442,                0.68182,                 0.7325,                 0.4668,                  1.333,                 1.1527,                 1.4465,              0.0013598,              0.0013598,              0.0013598
                     99,                0.85265,                  0.588,                 1.0749,                0.72102,                0.65789,                0.70567,                0.44065,                 1.4138,                 1.1175,                 1.4966,              0.0013532,              0.0013532,              0.0013532
                    100,                 0.8449,                0.58157,                 1.0784,                0.80977,                0.66364,                0.74811,                0.45128,                 1.4549,                 1.0301,                 1.5751,              0.0013466,              0.0013466,              0.0013466
                    101,                0.84864,                0.57811,                 1.0743,                0.80652,                0.64242,                0.73946,                 0.4339,                 1.4606,                 1.1408,                 1.5529,                0.00134,                0.00134,                0.00134
                    102,                0.84846,                0.56873,                 1.0739,                 0.8053,                0.66061,                0.72161,                 0.4536,                 1.4231,                 1.1134,                 1.5195,              0.0013334,              0.0013334,              0.0013334
                    103,                0.83038,                0.55056,                 1.0864,                0.77545,                0.70116,                0.75485,                0.47696,                 1.3388,                 1.1798,                 1.4833,              0.0013268,              0.0013268,              0.0013268
